Time	Type	R/W	AP/DP	Register	Request byte	ACK	WData	WData details
17.16378066	Line reset							
17.46456896	Line reset							
17.46585471	Operation	read	DebugPort	IDCODE	0xA5	OK	0x2BA01477	DESIGNER=0x477, PARTNO=0xBA01, Version=0x2
17.46665842	Operation	write	DebugPort	CTRL/STAT	0xA9	OK	0x50000000	CSYSPWRUPACK=0, CSYSPWRUPREQ=1, CDBGPWRUPACK=0, CDBGPWRUPREQ=1, CDBGRSTACK=0, CDBGRSTREQ=0, TRNCNT=0x000, MASKLANE=0x0, WDATAERR=0, READOK=0, STICKYERR=0, STICKYCMP=0, TRNMODE=Normal, STICKYORUN=0, ORUNDETECT=0
17.46743229	Operation	read	DebugPort	CTRL/STAT	0x8D	OK	0xF0000000	CSYSPWRUPACK=1, CSYSPWRUPREQ=1, CDBGPWRUPACK=1, CDBGPWRUPREQ=1, CDBGRSTACK=0, CDBGRSTREQ=0, TRNCNT=0x000, MASKLANE=0x0, WDATAERR=0, READOK=0, STICKYERR=0, STICKYCMP=0, TRNMODE=Normal, STICKYORUN=0, ORUNDETECT=0
17.46822455	Operation	write	DebugPort	SELECT	0xB1	OK	0x000000F0	APSEL=0x00, APBANKSEL=0xF, PRESCALER=0x0
17.46899945	Operation	read	AccessPort	IDR	0x9F	OK	0x00000000	Revision=0x0, JEP-106 continuation=0x0, JEP-106 identity=0x00, Class=This AP is not a Memory Acces Port, AP Identfication=0x00
17.46977248	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x24770011	
17.47054628	Operation	read	DebugPort	IDCODE	0xA5	OK	0x2BA01477	DESIGNER=0x477, PARTNO=0xBA01, Version=0x2
19.47134399	Operation	write	DebugPort	SELECT	0xB1	OK	0x010000F0	APSEL=0x01, APBANKSEL=0xF, PRESCALER=0x0
19.47211752	Operation	read	AccessPort	IDR	0x9F	OK	0x24770011	Revision=0x2, JEP-106 continuation=0x4, JEP-106 identity=0x3B, Class=This AP is a Memory Acces Port, AP Identfication=0x11
19.47288812	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x001C0000	
21.47367669	Operation	write	DebugPort	SELECT	0xB1	OK	0x01000000	APSEL=0x01, APBANKSEL=0x0, PRESCALER=0x0
21.47445082	Operation	write	AccessPort	TAR	0x8B	OK	0x00000010	
