Time	Type	R/W	AP/DP	Register	Request byte	ACK	WData	WData details
3.51018824	Operation	write	DebugPort	ABORT	0x81	OK	0x0000001E	ORUNERRCLR=1, WDERRCLR=1, STKERRCLR=1, STKCMPCLR=1, DAPABORT=0
3.51024046	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000000	APSEL=0x00, APBANKSEL=0x0, PRESCALER=0x0
3.51029026	Operation	write	AccessPort	TAR	0x8B	OK	0xE000EDF0	
3.51034000	Operation	write	AccessPort	CSW	0xA3	OK	0x23000002	DbgSwEnable=0, Prot=0x23, SPIDEN=0, Mode=0x0, TrInProg=0, DeviceEn=0, AddrInc=Auto-increment off, Size=Word (32 bits)
3.51038976	Operation	write	DebugPort	SELECT	0xB1	WAIT		
3.51040406	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000010	APSEL=0x00, APBANKSEL=0x1, PRESCALER=0x0
3.51045400	Operation	read	AccessPort	BD0	0x87	OK	0x00000000	
3.51050368	Operation	read	AccessPort	BD0	0x87	OK	0x00030003	
3.51110390	Operation	write	DebugPort	ABORT	0x81	OK	0x0000001E	ORUNERRCLR=1, WDERRCLR=1, STKERRCLR=1, STKCMPCLR=1, DAPABORT=0
3.51116164	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000000	APSEL=0x00, APBANKSEL=0x0, PRESCALER=0x0
3.51121166	Operation	write	AccessPort	TAR	0x8B	OK	0x1FFF8000	
3.51126140	Operation	write	AccessPort	CSW	0xA3	OK	0x23000012	DbgSwEnable=0, Prot=0x23, SPIDEN=0, Mode=0x0, TrInProg=0, DeviceEn=0, AddrInc=Increment single, Size=Word (32 bits)
3.51131130	Operation	read	AccessPort	DRW	0x9F	WAIT		
3.51132566	Operation	read	AccessPort	DRW	0x9F	OK	0x00030003	
3.51137544	Operation	read	AccessPort	DRW	0x9F	OK	0x76DDACFE	
3.51142514	Operation	read	AccessPort	DRW	0x9F	OK	0x01B10320	
3.51147480	Operation	read	AccessPort	DRW	0x9F	OK	0x33E21E4D	
3.51152444	Operation	read	AccessPort	DRW	0x9F	OK	0x5228A679	
3.51157410	Operation	read	AccessPort	DRW	0x9F	OK	0x230F4685	
3.51162374	Operation	read	AccessPort	DRW	0x9F	OK	0x20041C1A	
3.51167338	Operation	read	AccessPort	DRW	0x9F	OK	0xD3000852	
3.51172306	Operation	read	AccessPort	DRW	0x9F	OK	0x1E40404A	
3.51177268	Operation	read	AccessPort	DRW	0x9F	OK	0xB404D1FA	
3.51182236	Operation	read	AccessPort	DRW	0x9F	OK	0xD5F51E5B	
3.51187198	Operation	read	AccessPort	DRW	0x9F	OK	0x477046E5	
3.51192164	Operation	read	AccessPort	DRW	0x9F	OK	0x9D04B5E0	
3.51197128	Operation	read	AccessPort	DRW	0x9F	OK	0x1E7F2700	
3.51202524	Operation	read	AccessPort	DRW	0x9F	OK	0x8816D41A	
3.51207488	Operation	read	AccessPort	DRW	0x9F	OK	0x072E4075	
3.51212468	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x598E0EB6	
3.51304444	Operation	write	DebugPort	ABORT	0x81	OK	0x0000001E	ORUNERRCLR=1, WDERRCLR=1, STKERRCLR=1, STKCMPCLR=1, DAPABORT=0
3.51310484	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000000	APSEL=0x00, APBANKSEL=0x0, PRESCALER=0x0
3.51315488	Operation	write	AccessPort	TAR	0x8B	OK	0x1FFF8000	
3.51320462	Operation	write	AccessPort	CSW	0xA3	OK	0x23000011	DbgSwEnable=0, Prot=0x23, SPIDEN=0, Mode=0x0, TrInProg=0, DeviceEn=0, AddrInc=Increment single, Size=Halfword (16 bits)
3.51325454	Operation	write	AccessPort	DRW	0xBB	OK	0x20002000	
3.51330434	Operation	write	AccessPort	DRW	0xBB	OK	0x1C401C40	
3.51335416	Operation	write	AccessPort	DRW	0xBB	OK	0xE7FDE7FD	
3.51341310	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x598E0EB6	
3.51375810	Operation	write	DebugPort	ABORT	0x81	OK	0x0000001E	ORUNERRCLR=1, WDERRCLR=1, STKERRCLR=1, STKCMPCLR=1, DAPABORT=0
