Time	Type	R/W	AP/DP	Register	Request byte	ACK	WData	WData details
2.62318836	Line reset							
2.85213818	Line reset							
2.85228154	Operation	read	DebugPort	IDCODE	0xA5	OK	0x2BA01477	DESIGNER=0x477, PARTNO=0xBA01, Version=0x2
2.85236346	Operation	write	DebugPort	ABORT	0x81	OK	0x0000001F	ORUNERRCLR=1, WDERRCLR=1, STKERRCLR=1, STKCMPCLR=1, DAPABORT=1
2.85247070	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000000	APSEL=0x00, APBANKSEL=0x0, PRESCALER=0x0
2.85257774	Operation	write	DebugPort	CTRL/STAT	0xA9	OK	0x04000000	CSYSPWRUPACK=0, CSYSPWRUPREQ=0, CDBGPWRUPACK=0, CDBGPWRUPREQ=0, CDBGRSTACK=0, CDBGRSTREQ=1, TRNCNT=0x000, MASKLANE=0x0, WDATAERR=0, READOK=0, STICKYERR=0, STICKYCMP=0, TRNMODE=Normal, STICKYORUN=0, ORUNDETECT=0
2.85268486	Operation	write	DebugPort	CTRL/STAT	0xA9	OK	0x00000000	CSYSPWRUPACK=0, CSYSPWRUPREQ=0, CDBGPWRUPACK=0, CDBGPWRUPREQ=0, CDBGRSTACK=0, CDBGRSTREQ=0, TRNCNT=0x000, MASKLANE=0x0, WDATAERR=0, READOK=0, STICKYERR=0, STICKYCMP=0, TRNMODE=Normal, STICKYORUN=0, ORUNDETECT=0
2.85279186	Operation	write	DebugPort	CTRL/STAT	0xA9	OK	0x50000000	CSYSPWRUPACK=0, CSYSPWRUPREQ=1, CDBGPWRUPACK=0, CDBGPWRUPREQ=1, CDBGRSTACK=0, CDBGRSTREQ=0, TRNCNT=0x000, MASKLANE=0x0, WDATAERR=0, READOK=0, STICKYERR=0, STICKYCMP=0, TRNMODE=Normal, STICKYORUN=0, ORUNDETECT=0
2.85289908	Operation	write	DebugPort	CTRL/STAT	0xA9	OK	0x50000032	CSYSPWRUPACK=0, CSYSPWRUPREQ=1, CDBGPWRUPACK=0, CDBGPWRUPREQ=1, CDBGRSTACK=0, CDBGRSTREQ=0, TRNCNT=0x000, MASKLANE=0x0, WDATAERR=0, READOK=0, STICKYERR=1, STICKYCMP=1, TRNMODE=Normal, STICKYORUN=1, ORUNDETECT=0
2.85301046	Operation	write	DebugPort	SELECT	0xB1	OK	0x01000000	APSEL=0x01, APBANKSEL=0x0, PRESCALER=0x0
2.85311750	Operation	read	AccessPort	CSW	0x87	OK	0x00000000	DbgSwEnable=0, Prot=0x00, SPIDEN=0, Mode=0x0, TrInProg=0, DeviceEn=0, AddrInc=Auto-increment off, Size=Byte (8 bits)
2.85319862	Operation	read	AccessPort	CSW	0x87	OK	0x0000003A	DbgSwEnable=0, Prot=0x00, SPIDEN=0, Mode=0x0, TrInProg=0, DeviceEn=0, AddrInc=Reserved, Size=Word (32 bits)
2.85328026	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x0000003A	
2.85336242	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000000	APSEL=0x00, APBANKSEL=0x0, PRESCALER=0x0
2.85346956	Operation	write	AccessPort	CSW	0xA3	OK	0x23000052	DbgSwEnable=0, Prot=0x23, SPIDEN=0, Mode=0x0, TrInProg=0, DeviceEn=1, AddrInc=Increment single, Size=Word (32 bits)
2.85358088	Operation	write	AccessPort	TAR	0x8B	OK	0x00001C00	
2.85368802	Operation	read	AccessPort	DRW	0x9F	OK	0x0000003A	
2.85377014	Operation	read	AccessPort	DRW	0x9F	OK	0x4A0C2300	
2.85385164	Operation	read	AccessPort	DRW	0x9F	OK	0xF24070D3	
2.85393312	Operation	read	AccessPort	DRW	0x9F	OK	0x490B1203	
2.85401460	Operation	read	AccessPort	DRW	0x9F	OK	0x3104600A	
2.85409610	Operation	read	AccessPort	DRW	0x9F	OK	0x4A0A600A	
2.85417758	Operation	read	AccessPort	DRW	0x9F	OK	0x4A0A7013	
2.85425908	Operation	read	AccessPort	DRW	0x9F	OK	0x4B0A7013	
2.85434056	Operation	read	AccessPort	DRW	0x9F	OK	0xB10B681B	
2.85442204	Operation	read	AccessPort	DRW	0x9F	OK	0x701A2201	
2.85450352	Operation	read	AccessPort	DRW	0x9F	OK	0xBF00BD10	
2.85458502	Operation	read	AccessPort	DRW	0x9F	OK	0x40048034	
2.85466648	Operation	read	AccessPort	DRW	0x9F	OK	0x1FFF8DE4	
2.85474800	Operation	read	AccessPort	DRW	0x9F	OK	0xE000E184	
2.85482948	Operation	read	AccessPort	DRW	0x9F	OK	0x4006B000	
2.85491098	Operation	read	AccessPort	DRW	0x9F	OK	0x4004B00C	
2.85499246	Operation	read	AccessPort	DRW	0x9F	OK	0x1FFF8E50	
2.85507394	Operation	read	AccessPort	DRW	0x9F	OK	0x1FFF8DE5	
2.85515544	Operation	read	AccessPort	DRW	0x9F	OK	0x1FFF8DE0	
2.85523694	Operation	read	AccessPort	DRW	0x9F	OK	0x4604B510	
2.85531842	Operation	read	AccessPort	DRW	0x9F	OK	0x78134A09	
2.85539990	Operation	read	AccessPort	DRW	0x9F	OK	0x0FFFF013	
2.85548138	Operation	read	AccessPort	DRW	0x9F	OK	0x4620D1FB	
2.85556286	Operation	read	AccessPort	DRW	0x9F	OK	0xF7FE2101	
2.85564432	Operation	read	AccessPort	DRW	0x9F	OK	0x4620FC57	
2.85572580	Operation	read	AccessPort	DRW	0x9F	OK	0xF7FE2100	
2.85580730	Operation	read	AccessPort	DRW	0x9F	OK	0x4B04FC2F	
2.85588878	Operation	read	AccessPort	DRW	0x9F	OK	0x2034F853	
2.85597026	Operation	read	AccessPort	DRW	0x9F	OK	0x601A4B03	
2.85605176	Operation	read	AccessPort	DRW	0x9F	OK	0xBF00BD10	
2.85613324	Operation	read	AccessPort	DRW	0x9F	OK	0x1FFF8DE4	
2.85621472	Operation	read	AccessPort	DRW	0x9F	OK	0x00002C1C	
2.85629620	Operation	read	AccessPort	DRW	0x9F	OK	0x1FFF8E54	
2.85637770	Operation	read	AccessPort	DRW	0x9F	OK	0x4B0DB510	
2.85645918	Operation	read	AccessPort	DRW	0x9F	OK	0xF413681B	
2.85654066	Operation	read	AccessPort	DRW	0x9F	OK	0xD0126F00	
2.85662216	Operation	read	AccessPort	DRW	0x9F	OK	0xD80C2821	
2.85670364	Operation	read	AccessPort	DRW	0x9F	OK	0x4B0B4C0A	
2.85678512	Operation	read	AccessPort	DRW	0x9F	OK	0x3030F853	
2.85686662	Operation	read	AccessPort	DRW	0x9F	OK	0x21016023	
